Date,Home Team,Away Team,Home Goals,Away Goals,Referee
Dec 22 2018 - 3:00pm,Newcastle United,Fulham,0,0,Martin Atkinson
Dec 22 2018 - 3:00pm,West Ham United,Watford,0,2,Lee Mason
Dec 22 2018 - 5:30pm,Cardiff City,Manchester United,1,5,Michael Oliver
Dec 23 2018 - 4:00pm,Everton,Tottenham Hotspur,2,6,Paul Tierney
Dec 26 2018 - 12:30pm,Fulham,Wolverhampton Wanderers,1,1,Andre Marriner
Dec 26 2018 - 3:00pm,Burnley,Everton,1,5,Michael Oliver
Dec 26 2018 - 3:00pm,Crystal Palace,Cardiff City,0,0,Lee Probert
Dec 26 2018 - 3:00pm,Leicester City,Manchester City,2,1,Mike Dean
Dec 26 2018 - 3:00pm,Liverpool,Newcastle United,4,0,Graham Scott
Dec 26 2018 - 3:00pm,Manchester United,Huddersfield Town,3,1,Jonathan Moss
Dec 26 2018 - 3:00pm,Tottenham Hotspur,AFC Bournemouth,5,0,Chris Kavanagh
Dec 26 2018 - 5:15pm,Brighton & Hove Albion,Arsenal,1,1,Anthony Taylor
Dec 26 2018 - 7:30pm,Watford,Chelsea,1,2,Martin Atkinson
Dec 27 2018 - 7:45pm,Southampton,West Ham United,1,2,Craig Pawson
Dec 29 2018 - 3:00pm,Brighton & Hove Albion,Everton,1,0,Andy Madley
Dec 29 2018 - 3:00pm,Fulham,Huddersfield Town,1,0,Kevin Friend
Dec 29 2018 - 3:00pm,Leicester City,Cardiff City,0,1,Simon Hooper
Dec 29 2018 - 3:00pm,Tottenham Hotspur,Wolverhampton Wanderers,1,3,Stuart Attwell
Dec 29 2018 - 3:00pm,Watford,Newcastle United,1,1,Roger East
Dec 29 2018 - 5:30pm,Liverpool,Arsenal,5,1,Michael Oliver
Dec 30 2018 - 12:00pm,Crystal Palace,Chelsea,0,1,Craig Pawson
Dec 30 2018 - 2:15pm,Burnley,West Ham United,2,0,David Coote
Dec 30 2018 - 2:15pm,Southampton,Manchester City,1,3,Paul Tierney
Dec 30 2018 - 4:30pm,Manchester United,AFC Bournemouth,4,1,Lee Mason
Jan 01 2019 - 12:30pm,Everton,Leicester City,0,1,Martin Atkinson
Jan 01 2019 - 3:00pm,Arsenal,Fulham,4,1,Graham Scott
Jan 01 2019 - 5:30pm,Cardiff City,Tottenham Hotspur,0,3,Kevin Friend
Jan 02 2019 - 7:45pm,Chelsea,Southampton,0,0,Jonathan Moss
Jan 02 2019 - 7:45pm,Huddersfield Town,Burnley,1,2,Mike Dean
Jan 02 2019 - 7:45pm,West Ham United,Brighton & Hove Albion,2,2,Chris Kavanagh
